Index,Nome do Repository,URL,Total de Estrelas,Data da criacao,Data da ultima atualizacao,Total de Issues,Total de Issues Fechadas,Idade do repositorio (dias),Total de Pull Requests,Total de Releases,Data da ultima atualizacao,Linguagem primaria,Percentual de issues fechadas
130,swift,https://github.com/swiftlang/swift,67194,23/10/2015 21:15:07,25/08/2024 12:02:25,15399,8764,3229,56917,53,0,C++,56.91%
131,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,67116,24/10/2015 19:53:36,14/04/2023 20:01:37,160,124,3228,1262,0,499,No primary language,77.5%
132,ui,https://github.com/shadcn-ui/ui,67043,04/01/2023 12:43:27,21/08/2024 19:42:03,2115,1822,599,1371,16,4,TypeScript,86.15%
133,vite,https://github.com/vitejs/vite,66842,21/04/2020 05:03:57,24/08/2024 17:40:24,7268,6799,1587,5969,461,1,TypeScript,93.55%
134,whisper,https://github.com/openai/whisper,66512,16/09/2022 20:02:54,18/12/2023 20:11:16,0,0,709,244,10,251,Python,0%
135,nest,https://github.com/nestjs/nest,66454,04/02/2017 20:12:52,22/08/2024 06:43:41,5351,5294,2759,8214,97,3,TypeScript,98.93%
136,cs-video-courses,https://github.com/Developer-Y/cs-video-courses,66321,21/10/2016 17:02:11,25/07/2024 18:09:22,137,134,2865,198,0,31,No primary language,97.81%
137,v2rayN,https://github.com/2dust/v2rayN,66166,30/07/2019 03:47:24,22/08/2024 11:51:10,4589,4566,1853,288,185,3,C#,99.5%
138,HowToCook,https://github.com/Anduin2017/HowToCook,66110,29/02/2020 10:43:49,13/08/2024 13:03:54,661,294,1639,694,3,12,Dockerfile,44.48%
139,redis,https://github.com/redis/redis,66066,21/03/2009 22:32:25,21/08/2024 08:41:14,6512,4491,5636,6639,69,4,C,68.96%
140,devops-exercises,https://github.com/bregman-arie/devops-exercises,65593,03/10/2019 17:31:21,12/06/2024 09:18:01,87,58,1788,368,0,74,Python,66.67%
141,protobuf,https://github.com/protocolbuffers/protobuf,65010,26/08/2014 15:52:15,23/08/2024 23:04:12,6237,5992,3652,11492,164,1,C++,96.07%
142,playwright,https://github.com/microsoft/playwright,64962,15/11/2019 18:32:42,24/08/2024 09:49:18,14044,13417,1745,14761,131,1,TypeScript,95.54%
143,awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,64882,15/07/2014 19:11:19,07/08/2024 17:16:24,88,87,3694,897,0,18,Python,98.86%
144,express,https://github.com/expressjs/express,64656,26/06/2009 18:56:01,23/08/2024 20:39:13,3847,3741,5539,1492,153,2,JavaScript,97.24%
145,webpack,https://github.com/webpack/webpack,64428,10/03/2012 10:08:14,22/08/2024 16:12:42,9881,9735,4551,6927,415,3,JavaScript,98.52%
146,Chart.js,https://github.com/chartjs/Chart.js,64245,17/03/2013 23:56:36,20/08/2024 20:25:36,7139,6747,4178,3816,110,5,JavaScript,94.51%
147,awesome-react,https://github.com/enaqx/awesome-react,64080,06/08/2014 05:31:44,10/04/2024 21:11:49,106,103,3672,1294,0,137,No primary language,97.17%
148,llama.cpp,https://github.com/ggerganov/llama.cpp,64033,10/03/2023 18:58:00,25/08/2024 20:11:48,3634,3313,534,4047,1000,0,C++,91.17%
149,grafana,https://github.com/grafana/grafana,63454,11/12/2013 15:59:56,23/08/2024 22:17:38,36920,33022,3910,52650,442,2,TypeScript,89.44%
150,hoppscotch,https://github.com/hoppscotch/hoppscotch,63426,21/08/2019 13:15:24,22/08/2024 17:10:21,1562,1189,1831,2383,47,3,TypeScript,76.12%
151,gpt_academic,https://github.com/binary-husky/gpt_academic,63425,20/03/2023 09:05:13,19/08/2024 16:14:52,1558,1246,524,293,30,6,Python,79.97%
152,fzf,https://github.com/junegunn/fzf,63348,23/10/2013 16:04:23,25/08/2024 13:39:20,2746,2505,3959,923,49,0,Go,91.22%
153,syncthing,https://github.com/syncthing/syncthing,63282,26/11/2013 09:48:21,24/08/2024 10:45:10,5458,5104,3925,4137,378,1,Go,93.51%
154,interviews,https://github.com/kdn251/interviews,63178,14/02/2017 18:19:25,06/06/2020 02:37:07,53,23,2749,170,0,1541,Java,43.4%
155,33-js-concepts,https://github.com/leonardomso/33-js-concepts,62938,04/09/2018 13:27:04,30/06/2024 14:43:42,85,78,2182,408,0,56,JavaScript,91.76%
156,sway,https://github.com/FuelLabs/sway,62846,19/01/2021 20:54:33,24/08/2024 01:44:42,2981,2201,1314,3442,145,1,Rust,73.83%
157,strapi,https://github.com/strapi/strapi,62477,30/09/2015 15:34:48,23/08/2024 07:54:53,9505,8806,3252,10486,385,2,TypeScript,92.65%
158,system-design-101,https://github.com/ByteByteGoHq/system-design-101,62379,18/09/2023 20:52:03,27/12/2023 04:20:34,46,15,342,37,0,242,No primary language,32.61%
159,ansible,https://github.com/ansible/ansible,62174,06/03/2012 14:58:02,23/08/2024 01:10:12,32430,31906,4555,51121,99,2,Python,98.38%
160,javascript-questions,https://github.com/lydiahallie/javascript-questions,61991,12/06/2019 08:26:27,10/03/2024 15:01:57,240,231,1901,525,0,168,No primary language,96.25%
161,the-algorithm,https://github.com/twitter/the-algorithm,61953,27/03/2023 14:57:57,13/07/2023 11:03:04,968,731,517,529,0,409,Scala,75.52%
162,cpython,https://github.com/python/cpython,61907,10/02/2017 19:23:51,25/08/2024 21:38:49,68882,61711,2753,53692,0,0,Python,89.59%
163,resume.github.com,https://github.com/resume/resume.github.com,61795,06/02/2011 13:39:55,05/08/2016 05:37:30,119,64,4949,183,0,2942,JavaScript,53.78%
164,manim,https://github.com/3b1b/manim,61535,22/03/2015 18:50:58,16/08/2024 20:25:40,1133,723,3444,813,10,9,Python,63.81%
165,keras,https://github.com/keras-team/keras,61492,28/03/2015 00:35:42,25/08/2024 18:18:37,12066,11846,3438,7391,70,0,Python,98.18%
166,superset,https://github.com/apache/superset,61355,21/07/2015 18:55:34,23/08/2024 22:30:19,10560,9950,3323,16598,205,2,TypeScript,94.22%
167,Ventoy,https://github.com/ventoy/Ventoy,61295,10/03/2020 15:19:19,08/06/2024 09:26:33,2229,1544,1629,478,97,78,C,69.27%
168,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,61189,19/06/2023 16:28:59,14/08/2024 13:59:05,108,99,433,350,0,11,Jupyter Notebook,91.67%
